Fecha,Super 95,Super 95 (Sin imp.),Diesel,Diesel (Sin imp.),Diesel Cal.,Diesel Cal. (Sin imp.)
2005-12-19,0.98,0.442,0.918,0.491,0.575,0.409
2005-12-12,0.977,0.44,0.917,0.491,0.565,0.401
2005-12-05,0.958,0.423,0.897,0.474,0.574,0.408
2005-11-28,0.96,0.425,0.908,0.482,0.576,0.411
2005-11-21,0.981,0.443,0.929,0.5,0.594,0.428
2005-11-14,0.992,0.453,0.946,0.515,0.602,0.442
2005-11-07,1.005,0.464,0.962,0.529,0.628,0.456
2005-10-24,1.034,0.488,0.974,0.539,0.645,0.471
2005-10-17,1.051,0.503,0.974,0.54,0.657,0.482
2005-10-10,1.064,0.515,0.974,0.54,0.649,0.474
2005-10-03,1.064,0.515,0.974,0.539,0.649,0.474
2005-09-26,1.074,0.523,0.974,0.54,0.629,0.458
2005-09-19,1.073,0.522,0.974,0.539,0.64,0.467
2005-09-12,1.093,0.539,0.975,0.541,0.613,0.462
2005-09-05,1.099,0.545,0.981,0.546,0.629,0.457
2005-08-29,1.045,0.498,0.962,0.529,0.623,0.451
2005-08-22,1.034,0.489,0.951,0.519,0.605,0.437
2005-08-15,1.016,0.473,0.929,0.501,0.548,0.417
2005-08-08,1.016,0.473,0.929,0.501,0.548,0.417
2005-08-01,1.009,0.467,0.93,0.501,0.585,0.419
2005-07-25,0.999,0.459,0.931,0.503,0.596,0.428
2005-07-18,1.0,0.459,0.935,0.506,0.6,0.432
2005-07-11,0.996,0.456,0.936,0.507,0.567,0.418
2005-07-04,0.981,0.443,0.923,0.496,0.581,0.416
2005-06-27,0.982,0.443,0.916,0.49,0.579,0.414
2005-06-20,0.965,0.429,0.909,0.484,0.565,0.401
2005-06-13,0.946,0.413,0.889,0.466,0.511,0.367
2005-06-06,0.931,0.399,0.869,0.449,0.512,0.356
2005-05-30,0.927,0.396,0.86,0.442,0.498,0.344
2005-05-23,0.93,0.399,0.859,0.441,0.506,0.351
2005-05-16,0.929,0.398,0.859,0.441,0.51,0.355
2005-05-09,0.935,0.403,0.87,0.45,0.487,0.335
2005-05-02,0.943,0.41,0.88,0.459,0.524,0.366
2005-04-25,0.943,0.41,0.886,0.464,0.538,0.378
2005-04-18,0.933,0.402,0.886,0.464,0.549,0.387
2005-04-11,0.923,0.393,0.878,0.456,0.533,0.381
2005-04-04,0.915,0.386,0.874,0.453,0.538,0.378
2005-03-21,0.903,0.376,0.864,0.445,0.515,0.367
2005-03-14,0.902,0.375,0.863,0.444,0.502,0.356
2005-03-07,0.902,0.375,0.859,0.44,0.475,0.331
2005-02-28,0.889,0.363,0.839,0.423,0.465,0.318
2005-02-21,0.885,0.36,0.82,0.407,0.46,0.318
